datetime_local,year,month,day,hour,ghi,dhi,dni,fd,regimen_fd,poa,dc,ac,temperature,tcell_pvwatts,wind_speed,albedo
2021-01-01 00:00:00,2021,1,1,0,0.0,0.0,0.0,,,0.0,0.0,0.0,16.7,16.7,1.5,0.15
2021-01-01 01:00:00,2021,1,1,1,0.0,0.0,0.0,,,0.0,0.0,0.0,15.1,15.1,0.0,0.15
2021-01-01 02:00:00,2021,1,1,2,0.0,0.0,0.0,,,0.0,0.0,0.0,13.8,13.8,0.0,0.15
2021-01-01 03:00:00,2021,1,1,3,0.0,0.0,0.0,,,0.0,0.0,0.0,12.7,12.7,0.0,0.15
2021-01-01 04:00:00,2021,1,1,4,0.0,0.0,0.0,,,0.0,0.0,0.0,11.7,11.7,0.0,0.15
2021-01-01 05:00:00,2021,1,1,5,3.0,3.0,0.0,,,2.91,1.532,0.0,10.6,10.724,0.0,0.15
2021-01-01 06:00:00,2021,1,1,6,63.59005520424237,61.0,44.0,0.9592694927544335,alta_fd,54.999,43.888,38.369,13.0,15.584,0.0,0.15
2021-01-01 07:00:00,2021,1,1,7,235.015318548748,155.0,309.0,0.6595314763188475,mixto,223.719,176.785,166.558,18.0,26.949,0.5,0.15
2021-01-01 08:00:00,2021,1,1,8,448.61571984236025,175.0,600.0,0.3900888717441589,mixto,460.899,370.449,353.359,21.0,39.69,0.5,0.15
2021-01-01 09:00:00,2021,1,1,9,670.323154854163,189.0,756.0,0.28195356020652346,baja_fd,706.088,546.926,523.582,24.0,48.979,1.0,0.15
2021-01-01 10:00:00,2021,1,1,10,859.8498043694483,173.0,871.0,0.2011979291277105,baja_fd,907.011,703.069,674.193,26.2,47.098,3.1,0.15
2021-01-01 11:00:00,2021,1,1,11,1000.8426726572136,131.0,965.0,0.13088970282631746,baja_fd,1041.756,790.521,758.546,27.0,50.984,3.1,0.15
2021-01-01 12:00:00,2021,1,1,12,1079.469980458547,143.0,968.0,0.13247241941758783,baja_fd,1101.253,773.85,742.466,29.0,67.841,1.0,0.15
2021-01-01 13:00:00,2021,1,1,13,1085.9125323021483,144.0,959.0,0.1326073654336765,baja_fd,1080.577,816.854,783.946,30.0,51.335,4.1,0.15
2021-01-01 14:00:00,2021,1,1,14,1022.8477491049314,167.0,906.0,0.1632696558663179,baja_fd,990.468,766.418,735.297,29.5,46.634,5.1,0.15
2021-01-01 15:00:00,2021,1,1,15,887.3368393275847,144.0,867.0,0.16228335578755168,baja_fd,818.77,652.239,625.164,29.0,41.479,6.2,0.15
2021-01-01 16:00:00,2021,1,1,16,691.0013401853863,155.0,738.0,0.22431215539815827,baja_fd,596.999,487.669,466.425,27.9,37.018,6.2,0.15
2021-01-01 17:00:00,2021,1,1,17,443.90022896378775,143.0,537.0,0.32214446100604643,mixto,345.042,279.907,266.025,26.0,30.721,7.2,0.15
2021-01-01 18:00:00,2021,1,1,18,181.89100597241912,117.0,175.0,0.6432423603052764,mixto,132.73,101.384,93.828,24.0,26.261,5.1,0.15
2021-01-01 19:00:00,2021,1,1,19,18.0,18.0,0.0,1.0,alta_fd,17.034,10.79,6.444,22.5,23.073,1.0,0.15
2021-01-01 20:00:00,2021,1,1,20,0.0,0.0,0.0,,,0.0,0.0,0.0,19.0,19.0,3.6,0.15
2021-01-01 21:00:00,2021,1,1,21,0.0,0.0,0.0,,,0.0,0.0,0.0,17.0,17.0,3.6,0.15
2021-01-01 22:00:00,2021,1,1,22,0.0,0.0,0.0,,,0.0,0.0,0.0,16.0,16.0,4.1,0.15
2021-01-01 23:00:00,2021,1,1,23,0.0,0.0,0.0,,,0.0,0.0,0.0,15.0,15.0,2.1,0.15
2021-01-02 00:00:00,2021,1,2,0,0.0,0.0,0.0,,,0.0,0.0,0.0,13.6,13.6,1.5,0.15
2021-01-02 01:00:00,2021,1,2,1,0.0,0.0,0.0,,,0.0,0.0,0.0,13.6,13.6,1.5,0.15
2021-01-02 02:00:00,2021,1,2,2,0.0,0.0,0.0,,,0.0,0.0,0.0,12.0,12.0,1.5,0.15
2021-01-02 03:00:00,2021,1,2,3,0.0,0.0,0.0,,,0.0,0.0,0.0,12.0,12.0,1.5,0.15
