dataset,modelo,n,n_error_relativo,MAE_W,RMSE_W,Bias_W_modelo_menos_ref,R2,Error_relativo_promedio,fold,train_inicio,train_fin,test_inicio,test_fin
cv_fold_1,Modelo híbrido sin fracción difusa,702,624,4.603619071423885,5.988950554029252,-4.125013569516967,0.9994987205368449,0.01631771399266297,1,2021-01-01 06:00:00,2021-02-21 18:00:00,2021-02-22 07:00:00,2021-04-24 09:00:00
cv_fold_2,Modelo híbrido sin fracción difusa,702,585,4.872571242870995,6.221028492496475,-4.28269995605678,0.9990351075857614,0.02586334252888216,2,2021-01-01 06:00:00,2021-04-24 09:00:00,2021-04-24 10:00:00,2021-07-05 14:00:00
cv_fold_3,Modelo híbrido sin fracción difusa,702,595,1.918334645296679,2.6462307468136137,0.8146813857138414,0.999839992209892,0.007627485026663338,3,2021-01-01 06:00:00,2021-07-05 14:00:00,2021-07-05 15:00:00,2021-09-12 15:00:00
cv_fold_4,Modelo híbrido sin fracción difusa,702,614,3.113432499557489,4.09054064694739,1.4377114203228551,0.9997610729886736,0.010382393188959803,4,2021-01-01 06:00:00,2021-09-12 15:00:00,2021-09-12 16:00:00,2021-11-09 14:00:00
cv_fold_5,Modelo híbrido sin fracción difusa,702,649,2.358569599851246,3.272550274814962,0.8280997282943741,0.9998638143102148,0.00886839168297946,5,2021-01-01 06:00:00,2021-11-09 14:00:00,2021-11-09 15:00:00,2021-12-31 19:00:00
cv_fold_1,Modelo híbrido con fracción difusa,702,624,3.4554865446145167,4.68057136634623,-2.8803562267782215,0.9996938204359006,0.01279820526637496,1,2021-01-01 06:00:00,2021-02-21 18:00:00,2021-02-22 07:00:00,2021-04-24 09:00:00
cv_fold_2,Modelo híbrido con fracción difusa,702,585,2.793432549342495,3.5664603134047663,-2.4013887891207744,0.9996828758599262,0.014347738584627727,2,2021-01-01 06:00:00,2021-04-24 09:00:00,2021-04-24 10:00:00,2021-07-05 14:00:00
cv_fold_3,Modelo híbrido con fracción difusa,702,595,1.8061440296542086,2.5213083919058463,0.8595386915957086,0.9998547428083854,0.007577315747538956,3,2021-01-01 06:00:00,2021-07-05 14:00:00,2021-07-05 15:00:00,2021-09-12 15:00:00
cv_fold_4,Modelo híbrido con fracción difusa,702,614,2.456633313407265,3.281274205894213,1.3166498041303814,0.9998462592927196,0.009282496182371485,4,2021-01-01 06:00:00,2021-09-12 15:00:00,2021-09-12 16:00:00,2021-11-09 14:00:00
cv_fold_5,Modelo híbrido con fracción difusa,702,649,2.1156044056460894,2.734299159264538,1.2248332837064797,0.9999049283834686,0.008024820265754799,5,2021-01-01 06:00:00,2021-11-09 14:00:00,2021-11-09 15:00:00,2021-12-31 19:00:00
